id,uri,,
399,http://dbpedia.org/resource/Girl_in_the_Cadillac,,
28,http://dbpedia.org/resource/Fanci%27s_Persuasion,,
82,http://dbpedia.org/resource/Antonia's_Line,,
2838,http://dbpedia.org/resource/I_Woke_Up_Early_The_Day_I_Died,,
1679,http://dbpedia.org/resource/Chairman_of_the_Board_%28film%29,,
478,http://dbpedia.org/resource/Jimmy_Hollywood,,
2703,http://dbpedia.org/resource/Broken_Vessels,,
884,http://dbpedia.org/resource/Sweet_Nothing,,
1424,http://dbpedia.org/resource/Inside_Burma:_Land_of_Fear,,
862,http://dbpedia.org/resource/Manny_&_Lo,,
3859,http://dbpedia.org/resource/The_Eyes_of_Tammy_Faye,,
1575,http://dbpedia.org/resource/Gabbeh_%28film%29,,
894,http://dbpedia.org/resource/Liebelei_%28film%29,,
2306,http://dbpedia.org/resource/Holy_Man,,
3165,http://dbpedia.org/resource/Boiling_Point_%281993_film%29,,
3026,http://dbpedia.org/resource/Slaughterhouse_%28film%29,,
1167,http://dbpedia.org/resource/Dear_God,,
1585,http://dbpedia.org/resource/Love_Serenade,,
2577,http://dbpedia.org/resource/Metroland_%281997_film%29,,
1002,http://dbpedia.org/resource/Ed%27s_Next_Move,,
3537,http://dbpedia.org/resource/Where_the_Money_Is,,
201,http://dbpedia.org/resource/Three_Wishes_%28film%29,,
774,http://dbpedia.org/resource/Wend_Kuuni,,
3731,http://dbpedia.org/resource/Cutter%27s_Way,,
563,http://dbpedia.org/resource/Germinal_%281993_film%29,,
1671,http://dbpedia.org/resource/Deceiver_%28film%29,,
2584,http://dbpedia.org/resource/Foolish_%28film%29,,
787,http://dbpedia.org/resource/The_Gate_of_Heavenly_Peace_%28documentary%29,,
3212,http://dbpedia.org/resource/Born_to_Win,,
139,http://dbpedia.org/resource/Target_%281995_film%29,,
309,http://dbpedia.org/resource/Red_Firecracker,_Green_Firecracker,
2061,http://dbpedia.org/resource/Full_Tilt_Boogie,,
2492,http://dbpedia.org/resource/20_Dates,,
310,http://dbpedia.org/resource/Rent-a-Kid,,
1528,http://dbpedia.org/resource/Intimate_Relations_%281996_film%29,,
278,http://dbpedia.org/resource/Miami_Rhapsody,,
2768,http://dbpedia.org/resource/Stiff_Upper_Lips,,
2885,http://dbpedia.org/resource/Guinevere_%28film%29,,
135,http://dbpedia.org/resource/Down_Periscope,,
2343,http://dbpedia.org/resource/The_Naked_Man_%28film%29,,
2568,http://dbpedia.org/resource/The_Mod_Squad_%28film%29,,
3295,http://dbpedia.org/resource/Raining_Stones,,
1661,http://dbpedia.org/resource/Switchback_%28film%29,,
3597,http://dbpedia.org/resource/Whipped_%28film%29,,
2693,http://dbpedia.org/resource/Trekkies_%28film%29,,
1545,http://dbpedia.org/resource/Ponette,,
2999,http://dbpedia.org/resource/Man_of_the_Century,,
1309,http://dbpedia.org/resource/Parallel_Sons,,
3225,http://dbpedia.org/resource/Down_to_You,,
3149,http://dbpedia.org/resource/Diamonds_%281999_film%29,,
2345,http://dbpedia.org/resource/Desert_Bloom,,
184,http://dbpedia.org/resource/Nadja_%28film%29,,
3127,http://dbpedia.org/resource/Holy_Smoke%21,,
1596,http://dbpedia.org/resource/Career_Girls,,
1861,http://dbpedia.org/resource/Junk_Mail_%28film%29,,
452,http://dbpedia.org/resource/Widows%27_Peak,,
448,http://dbpedia.org/resource/Fearless_%281993_film%29,,
3043,http://dbpedia.org/resource/Meatballs_4,,
2434,http://dbpedia.org/resource/Down_in_the_Delta,,
2589,http://dbpedia.org/resource/Friends_&_Lovers_%28film%29,,
1843,http://dbpedia.org/resource/Slappy_and_the_Stinkers,,
3803,http://dbpedia.org/resource/Greaser%27s_Palace,,
1875,http://dbpedia.org/resource/Clockwatchers,,
1887,http://dbpedia.org/resource/Almost_Heroes,,
2809,http://dbpedia.org/resource/Love_Stinks_%28film%29,,
486,http://dbpedia.org/resource/Life_with_Mikey,,
1310,http://dbpedia.org/resource/Hype%21,,
2974,http://dbpedia.org/resource/Bats_%28film%29,,
3530,http://dbpedia.org/resource/Smoking/No_Smoking,,
2957,http://dbpedia.org/resource/Sparrows_%281926_film%29,,
2725,http://dbpedia.org/resource/Twin_Falls_Idaho_%28film%29,,
124,http://dbpedia.org/resource/The_Star_Maker,,
827,http://dbpedia.org/resource/The_Convent_%28film%29,,
3025,http://dbpedia.org/resource/Rough_Night_in_Jericho_%28film%29,,
3515,http://dbpedia.org/resource/Me_Myself_I_%28film%29,,
2487,http://dbpedia.org/resource/Blood,_Guts,_Bullets_and_Octane
1508,http://dbpedia.org/resource/Traveller_%28film%29,,
3187,http://dbpedia.org/resource/Trans_%28film%29,,
3625,http://dbpedia.org/resource/Better_Living_Through_Circuitry,,
33,http://dbpedia.org/resource/Wings_of_Courage,,
115,http://dbpedia.org/resource/Happiness_Is_in_the_Field,,
2775,http://dbpedia.org/resource/Head_On_%281998_film%29,,
1811,http://dbpedia.org/resource/Niagara,_Niagara,
3199,http://dbpedia.org/resource/Pal_Joey_%28film%29,,
2327,http://dbpedia.org/resource/Tales_from_the_Darkside:_The_Movie,,
2751,http://dbpedia.org/resource/From_the_Hip_%28film%29,,
2744,http://dbpedia.org/resource/Otello_%281986_film%29,,
840,http://dbpedia.org/resource/House_Arrest_%28film%29,,
664,http://dbpedia.org/resource/Faithful_%28film%29,,
2247,http://dbpedia.org/resource/Married_to_the_Mob,,
3942,http://dbpedia.org/resource/Sorority_House_Massacre_II,,
2840,http://dbpedia.org/resource/Stigmata_%28film%29,,
958,http://dbpedia.org/resource/Lady_of_Burlesque,,
2308,http://dbpedia.org/resource/Detroit_9000,,
1456,http://dbpedia.org/resource/The_Pest_%281997_film%29,,
1188,http://dbpedia.org/resource/Strictly_Ballroom,,
3249,http://dbpedia.org/resource/The_Hand_That_Rocks_the_Cradle_%28film%29,,
3836,http://dbpedia.org/resource/Kelly%27s_Heroes,,
2196,http://dbpedia.org/resource/Knock_Off_%28film%29,,
983,http://dbpedia.org/resource/Madagascar_Skin,,
393,http://dbpedia.org/resource/Street_Fighter_%28film%29,,
2429,http://dbpedia.org/resource/Mighty_Joe_Young_%281998_film%29,,
3055,http://dbpedia.org/resource/Felicia%27s_Journey_%28film%29,,
813,http://dbpedia.org/resource/Larger_than_Life_%28film%29,,
2733,http://dbpedia.org/resource/Vibes_%28film%29,,
1980,http://dbpedia.org/resource/Friday_the_13th_Part_VII:_The_New_Blood,,
2865,http://dbpedia.org/resource/Sugar_Town_%28film%29,,
816,http://dbpedia.org/resource/Two_Deaths,,
3233,http://dbpedia.org/resource/Smashing_Time,,
510,http://dbpedia.org/resource/Poetic_Justice_%28film%29,,
3338,http://dbpedia.org/resource/For_All_Mankind,,
1300,http://dbpedia.org/resource/My_Life_as_a_Dog,,
3442,http://dbpedia.org/resource/Band_of_the_Hand,,
1878,http://dbpedia.org/resource/Woo_%28film%29,,
2221,http://dbpedia.org/resource/Blackmail_%281929_film%29,,
3763,http://dbpedia.org/resource/F/X,,
2222,http://dbpedia.org/resource/Champagne_%28film%29,,
1773,http://dbpedia.org/resource/Tokyo_Fist,,
386,http://dbpedia.org/resource/S.F.W.,,
3482,http://dbpedia.org/resource/Price_of_Glory,,
2864,http://dbpedia.org/resource/Splendor_%281999_film%29,,
1668,http://dbpedia.org/resource/One_Night_Stand_%281997_film%29,,
228,http://dbpedia.org/resource/Destiny_Turns_on_the_Radio,,
2419,http://dbpedia.org/resource/Extremities_%28film%29,,
1518,http://dbpedia.org/resource/Breakdown_%28film%29,,
2979,http://dbpedia.org/resource/Body_Shots,,
2562,http://dbpedia.org/resource/Bandits_%281997_film%29,,
1504,http://dbpedia.org/resource/Hollow_Reed,,
1579,http://dbpedia.org/resource/For_Ever_Mozart,,
3167,http://dbpedia.org/resource/Carnal_Knowledge_%28film%29,,
2101,http://dbpedia.org/resource/Squanto:_A_Warrior%27s_Tale,,
2534,http://dbpedia.org/resource/Avalanche_%281978_film%29,,
1458,http://dbpedia.org/resource/The_Midas_Touch_%281997_film%29,,
1439,http://dbpedia.org/resource/Meet_Wally_Sparks,,
3580,http://dbpedia.org/resource/Up_at_the_Villa,,
65,http://dbpedia.org/resource/Bio-Dome,,
2855,http://dbpedia.org/resource/Nightmares_%281983_film%29,,
895,http://dbpedia.org/resource/Venice/Venice,,
1797,http://dbpedia.org/resource/Everest_%28film%29,,
3824,http://dbpedia.org/resource/Autumn_in_New_York_%28film%29,,
2891,http://dbpedia.org/resource/Happy,_Texas_%28film%29,
1330,http://dbpedia.org/resource/April_Fool%27s_Day_%281986_film%29,,
3794,http://dbpedia.org/resource/Chuck_&_Buck,,
1603,http://dbpedia.org/resource/Mimic_%28film%29,,
3664,http://dbpedia.org/resource/Puppet_Master_5:_The_Final_Chapter,,
1255,http://dbpedia.org/resource/Bad_Taste,,
3723,http://dbpedia.org/resource/Hamlet_%281990_film%29,,
1652,http://dbpedia.org/resource/Year_of_the_Horse,,
2500,http://dbpedia.org/resource/Jawbreaker_%28film%29,,
504,http://dbpedia.org/resource/No_Escape,,
2802,http://dbpedia.org/resource/Tequila_Sunrise_%28film%29,,
868,http://dbpedia.org/resource/Death_in_Brunswick,,
3235,http://dbpedia.org/resource/Where_the_Buffalo_Roam,,
155,http://dbpedia.org/resource/Beyond_Rangoon,,
529,http://dbpedia.org/resource/Searching_for_Bobby_Fischer,,
3146,http://dbpedia.org/resource/Deuce_Bigalow:_Male_Gigolo,,
3048,http://dbpedia.org/resource/Under_the_Rainbow,,
2883,http://dbpedia.org/resource/Mumford_%28film%29,,
64,http://dbpedia.org/resource/Two_If_by_Sea,,
2256,http://dbpedia.org/resource/Parasite_%28film%29,,
3900,http://dbpedia.org/resource/Crime_and_Punishment_in_Suburbia,,
2246,http://dbpedia.org/resource/Stars_and_Bars_%28film%29,,
734,http://dbpedia.org/resource/Getting_Away_with_Murder_%281996_film%29,,
3716,http://dbpedia.org/resource/Fatal_Beauty,,
311,http://dbpedia.org/resource/Relative_Fear,,
1842,http://dbpedia.org/resource/Illtown,,
3667,http://dbpedia.org/resource/Rent-A-Cop,,
997,http://dbpedia.org/resource/Caught_%281996_film%29,,
1038,http://dbpedia.org/resource/Unhook_the_Stars,,
1563,http://dbpedia.org/resource/Dream_with_the_Fishes,,
1468,http://dbpedia.org/resource/Booty_Call,,
430,http://dbpedia.org/resource/Calendar_Girl_%281993_film%29,,
1520,http://dbpedia.org/resource/Commandments,,
1174,http://dbpedia.org/resource/Grosse_Fatigue,,
3642,http://dbpedia.org/resource/In_Old_California_%281942_film%29,,
61,http://dbpedia.org/resource/Eye_for_an_Eye_%281996_film%29,,
3007,http://dbpedia.org/resource/American_Movie,,
1621,http://dbpedia.org/resource/Soul_Food_%28film%29,,
637,http://dbpedia.org/resource/Sgt._Bilko,,
433,http://dbpedia.org/resource/Clean_Slate_%281994_film%29,,
2796,http://dbpedia.org/resource/Funny_Farm_%28film%29,,
1846,http://dbpedia.org/resource/Nil_by_Mouth_%28film%29,,
3553,http://dbpedia.org/resource/Gossip_%282000_American_film%29,,
630,http://dbpedia.org/resource/Carried_Away_%281996_film%29,,
1606,http://dbpedia.org/resource/Kull_the_Conqueror,,
